timestamp,open,high,low,close
2026-06-24 00:00:00,7448.0,7448.25,7444.0,7444.0
2026-06-24 00:03:00,7443.75,7443.75,7439.25,7440.5
2026-06-24 00:06:00,7440.75,7442.75,7439.75,7440.25
2026-06-24 00:09:00,7440.0,7443.0,7439.5,7441.5
2026-06-24 00:12:00,7441.5,7442.5,7438.0,7439.75
2026-06-24 00:15:00,7439.75,7441.5,7437.25,7438.25
2026-06-24 00:18:00,7438.25,7438.5,7435.75,7436.25
2026-06-24 00:21:00,7436.0,7438.75,7434.75,7435.5
2026-06-24 00:24:00,7435.75,7437.5,7435.0,7436.5
2026-06-24 00:27:00,7436.5,7438.75,7436.5,7436.75
2026-06-24 00:30:00,7437.0,7443.25,7437.0,7442.75
2026-06-24 00:33:00,7443.0,7444.25,7441.75,7444.0
2026-06-24 00:36:00,7444.0,7449.0,7443.75,7447.5
2026-06-24 00:39:00,7447.5,7450.0,7446.75,7449.5
2026-06-24 00:42:00,7449.5,7450.5,7448.25,7448.25
2026-06-24 00:45:00,7448.25,7450.5,7447.75,7449.5
2026-06-24 00:48:00,7449.5,7450.25,7448.0,7449.75
2026-06-24 00:51:00,7450.0,7451.5,7448.25,7448.75
2026-06-24 00:54:00,7448.5,7451.5,7448.5,7450.75
2026-06-24 00:57:00,7450.5,7450.75,7448.25,7449.5
2026-06-24 01:00:00,7449.75,7451.5,7448.5,7451.25
2026-06-24 01:03:00,7451.25,7452.0,7449.25,7449.25
2026-06-24 01:06:00,7449.5,7449.75,7447.5,7449.0
2026-06-24 01:09:00,7449.0,7452.5,7448.5,7452.5
2026-06-24 01:12:00,7452.5,7453.25,7450.5,7451.5
2026-06-24 01:15:00,7451.5,7454.25,7450.0,7454.25
2026-06-24 01:18:00,7454.0,7456.5,7453.75,7455.0
2026-06-24 01:21:00,7455.0,7456.75,7454.0,7455.25
2026-06-24 01:24:00,7454.75,7457.5,7454.25,7455.0
2026-06-24 01:27:00,7454.75,7456.25,7453.75,7454.25
2026-06-24 01:30:00,7454.25,7457.75,7454.25,7457.5
2026-06-24 01:33:00,7457.25,7457.75,7453.75,7455.5
2026-06-24 01:36:00,7455.5,7457.5,7455.5,7457.5
2026-06-24 01:39:00,7457.5,7459.25,7455.0,7455.0
2026-06-24 01:42:00,7455.25,7455.25,7453.5,7454.25
2026-06-24 01:45:00,7454.0,7455.0,7452.75,7453.75
2026-06-24 01:48:00,7453.75,7454.0,7450.75,7451.0
2026-06-24 01:51:00,7451.0,7451.75,7449.75,7450.25
2026-06-24 01:54:00,7450.5,7450.75,7449.75,7450.75
2026-06-24 01:57:00,7450.75,7451.25,7450.0,7450.25
2026-06-24 02:00:00,7450.25,7450.5,7447.5,7449.0
2026-06-24 02:03:00,7449.25,7449.5,7445.75,7447.75
2026-06-24 02:06:00,7447.75,7450.0,7447.0,7449.5
2026-06-24 02:09:00,7449.75,7453.75,7449.25,7453.0
2026-06-24 02:12:00,7453.0,7453.5,7451.75,7452.0
2026-06-24 02:15:00,7452.0,7452.5,7448.25,7449.25
2026-06-24 02:18:00,7449.25,7449.25,7445.25,7445.5
2026-06-24 02:21:00,7445.75,7448.25,7445.5,7447.5
2026-06-24 02:24:00,7447.75,7448.75,7446.25,7447.75
2026-06-24 02:27:00,7447.75,7448.5,7445.5,7447.0
2026-06-24 02:30:00,7447.5,7450.5,7446.75,7448.75
2026-06-24 02:33:00,7449.0,7453.0,7449.0,7452.75
2026-06-24 02:36:00,7453.0,7453.75,7451.5,7451.75
2026-06-24 02:39:00,7451.5,7452.0,7449.5,7450.25
